AIRPORT_ID,AIRPORT_NAME
10140,10140
10299,10299
10397,10397
10423,10423
10529,10529
10693,10693
10721,10721
10792,10792
10800,10800
10821,10821
11042,11042
11057,11057
11066,11066
11193,11193
11259,11259
11278,11278
11292,11292
11298,11298
11433,11433
11618,11618
11697,11697
12173,12173
12191,12191
12264,12264
12266,12266
12339,12339
12451,12451
12478,12478
12889,12889
12892,12892
12953,12953
12954,12954
13198,13198
13204,13204
13232,13232
13244,13244
13303,13303
13342,13342
13487,13487
13495,13495
13796,13796
13830,13830
13851,13851
13871,13871
13891,13891
13930,13930
13931,13931
14027,14027
14057,14057
14100,14100
14107,14107
14122,14122
14307,14307
14492,14492
14524,14524
14570,14570
14635,14635
14679,14679
14683,14683
14730,14730
14747,14747
14771,14771
14831,14831
14843,14843
14869,14869
14893,14893
14908,14908
15016,15016
15304,15304
15376,15376
